gvkey,datadate,FiscalYear,indfmt,consol,popsrc,datafmt,Ticker,conm,curcd,fyr,Book Value Per Share,costat,MktCap,Price Close - Annual - Fiscal,BookToMarket
1078,20171231,2017,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,17.7202,A,99507,57.07,0.31
1078,20181231,2018,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,17.3865,A,126984,72.33,0.24
1078,20191231,2019,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,17.6386,A,153091,86.86,0.2
1078,20201231,2020,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,18.5092,A,193932,109.49,0.17
1078,20211231,2021,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,20.295,A,248277,140.74,0.14
1300,20171231,2017,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,12,23.0071,A,115158,153.36,0.15
1300,20181231,2018,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,12,24.9178,A,96395,132.12,0.19
1300,20191231,2019,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,12,26.0076,A,125865,177,0.15
1300,20201231,2020,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,12,25.1851,A,148209,212.7,0.12
1300,20211231,2021,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,12,27.1159,A,142788,208.51,0.13
1447,20201231,2020,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12,26.564,A,97333,120.91,0.22
1447,20211231,2021,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12,27.0394,A,124500,163.6,0.17
1487,20171231,2017,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,72.4891,A,53565,59.58,1.22
1487,20181231,2018,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,65.0363,A,34153,39.41,1.65
1487,20191231,2019,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,74.9139,A,44657,51.33,1.46
1487,20201231,2020,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,76.4452,A,32619,37.86,2.02
1602,20171231,2017,INDL,C,D,STD,AMGN,AMGEN INC,USD,12,34.9502,A,125591,173.9,0.2
1602,20181231,2018,INDL,C,D,STD,AMGN,AMGEN INC,USD,12,19.8539,A,122564,194.67,0.1
1602,20191231,2019,INDL,C,D,STD,AMGN,AMGEN INC,USD,12,16.3561,A,142569,241.07,0.07
1602,20201231,2020,INDL,C,D,STD,AMGN,AMGEN INC,USD,12,16.2701,A,132963,229.92,0.07
1602,20211231,2021,INDL,C,D,STD,AMGN,AMGEN INC,USD,12,12.0007,A,125601,224.97,0.05
1690,20170930,2017,INDL,C,D,STD,AAPL,APPLE INC,USD,9,26.1494,A,790050,154.12,0.17
1690,20180930,2018,INDL,C,D,STD,AAPL,APPLE INC,USD,9,22.5336,A,1073391,225.74,0.1
1690,20190930,2019,INDL,C,D,STD,AAPL,APPLE INC,USD,9,20.3653,A,995152,223.97,0.09
1690,20200930,2020,INDL,C,D,STD,AAPL,APPLE INC,USD,9,3.8487,A,1966079,115.81,0.03
1690,20210930,2021,INDL,C,D,STD,AAPL,APPLE INC,USD,9,3.8407,A,2324390,141.5,0.03
1690,20220930,2022,INDL,C,D,STD,AAPL,APPLE INC,USD,9,3.1782,A,2203381,138.2,0.02
2019,20171231,2017,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,37.2088,A,54584,53.86,0.69
2019,20181231,2018,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,38.6245,A,45207,47.07,0.82
2019,20191231,2019,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,42.1247,A,45331,50.33,0.84
2019,20201231,2020,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,46.5287,A,37634,42.44,1.1
2019,20211231,2021,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,47.4989,A,46705,58.08,0.82
2136,20171231,2017,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,12,10.5641,A,215927,52.93,0.2
2136,20181231,2018,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,12,12.8617,A,232303,56.22,0.23
2136,20191231,2019,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,12,14.8447,A,253940,61.4,0.24
2136,20201231,2020,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,12,16.3944,A,243115,58.75,0.28
2136,20211231,2021,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,12,19.484,A,218118,51.96,0.37
2176,20181231,2018,INDL,C,D,STD,BRK.B,BERKSHIRE HATHAWAY,USD,12,141.6689,A,502274,204.18,0.69
2176,20211231,2021,INDL,C,D,STD,BRK.B,BERKSHIRE HATHAWAY,USD,12,228.4142,A,663910,299,0.76
2285,20171231,2017,INDL,C,D,STD,BA,BOEING CO,USD,12,0.6006,A,174303,294.91,0
2285,20181231,2018,INDL,C,D,STD,BA,BOEING CO,USD,12,0.5972,A,183064,322.5,0
2285,20191231,2019,INDL,C,D,STD,BA,BOEING CO,USD,12,-15.308,A,183373,325.76,-0.05
2285,20201231,2020,INDL,C,D,STD,BA,BOEING CO,USD,12,-31.4535,A,124651,214.06,-0.15
2285,20211231,2021,INDL,C,D,STD,BA,BOEING CO,USD,12,-25.4688,A,118561,201.32,-0.13
2403,20171231,2017,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,7.1898,A,100070,61.28,0.12
2403,20181231,2018,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,8.5974,A,84831,51.98,0.17
2403,20191231,2019,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,22.9223,A,144492,64.19,0.36
2403,20201231,2020,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,16.8547,A,139195,62.03,0.27
2403,20211231,2021,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,16.5193,A,135674,62.35,0.26
2817,20171231,2017,INDL,C,D,STD,CAT,CATERPILLAR INC,USD,12,22.919,A,94174,157.58,0.15
2817,20181231,2018,INDL,C,D,STD,CAT,CATERPILLAR INC,USD,12,24.3926,A,73134,127.07,0.19
2817,20191231,2019,INDL,C,D,STD,CAT,CATERPILLAR INC,USD,12,26.5196,A,81236,147.68,0.18
2817,20201231,2020,INDL,C,D,STD,CAT,CATERPILLAR INC,USD,12,28.1146,A,99256,182.02,0.15
2817,20211231,2021,INDL,C,D,STD,CAT,CATERPILLAR INC,USD,12,30.7602,A,110789,206.74,0.15
2968,20171231,2017,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,67.0379,A,366302,106.94,0.63
2968,20181231,2018,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,70.349,A,319780,97.62,0.72
2968,20191231,2019,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,75.9842,A,429913,139.4,0.55
2968,20201231,2020,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,81.7499,A,387492,127.07,0.64
2968,20211231,2021,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,88.0693,A,466206,158.35,0.56
2991,20171231,2017,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,77.7675,A,238450,125.19,0.62
2991,20181231,2018,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,81.2229,A,207010,108.79,0.75
2991,20191231,2019,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,76.6207,A,226820,120.51,0.64
2991,20201231,2020,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,68.4027,A,162582,84.45,0.81
2991,20211231,2021,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,72.0627,A,226463,117.35,0.61
3144,20171231,2017,INDL,C,D,STD,KO,COCA-COLA CO,USD,12,4.0085,A,195403,45.88,0.09
3144,20181231,2018,INDL,C,D,STD,KO,COCA-COLA CO,USD,12,3.9787,A,202090,47.35,0.08
3144,20191231,2019,INDL,C,D,STD,KO,COCA-COLA CO,USD,12,4.4348,A,236898,55.35,0.08
3144,20201231,2020,INDL,C,D,STD,KO,COCA-COLA CO,USD,12,4.4861,A,235922,54.84,0.08
3144,20211231,2021,INDL,C,D,STD,KO,COCA-COLA CO,USD,12,5.3177,A,256083,59.21,0.09
3170,20171231,2017,INDL,C,D,STD,CL,COLGATE-PALMOLIVE CO,USD,12,-0.0686,A,65996,75.45,0
3170,20181231,2018,INDL,C,D,STD,CL,COLGATE-PALMOLIVE CO,USD,12,-0.1182,A,51361,59.52,0
3170,20191231,2019,INDL,C,D,STD,CL,COLGATE-PALMOLIVE CO,USD,12,0.1369,A,58838,68.84,0
3170,20201231,2020,INDL,C,D,STD,CL,COLGATE-PALMOLIVE CO,USD,12,0.8742,A,72674,85.51,0.01
3170,20211231,2021,INDL,C,D,STD,CL,COLGATE-PALMOLIVE CO,USD,12,0.7246,A,71727,85.34,0.01
3226,20171231,2017,INDL,C,D,STD,CMCSA,COMCAST CORP,USD,12,14.7714,A,186013,40.05,0.37
3226,20181231,2018,INDL,C,D,STD,CMCSA,COMCAST CORP,USD,12,15.8227,A,154109,34.05,0.46
3226,20191231,2019,INDL,C,D,STD,CMCSA,COMCAST CORP,USD,12,18.1694,A,204750,44.97,0.4
3226,20201231,2020,INDL,C,D,STD,CMCSA,COMCAST CORP,USD,12,19.7184,A,240026,52.4,0.38
3226,20211231,2021,INDL,C,D,STD,CMCSA,COMCAST CORP,USD,12,21.1972,A,228157,50.33,0.42
3243,20171231,2017,INDL,C,D,STD,C,CITIGROUP INC,USD,12,70.62,A,191227,74.41,0.95
3243,20191231,2019,INDL,C,D,STD,C,CITIGROUP INC,USD,12,82.9006,A,168897,79.89,1.04
3735,20171231,2017,INDL,C,D,STD,DHR,DANAHER CORP,USD,12,37.8384,A,64658,92.82,0.41
3735,20181231,2018,INDL,C,D,STD,DHR,DANAHER CORP,USD,12,40.2201,A,72339,103.12,0.39
3735,20191231,2019,INDL,C,D,STD,DHR,DANAHER CORP,USD,12,41.1511,A,106745,153.48,0.27
3735,20201231,2020,INDL,C,D,STD,DHR,DANAHER CORP,USD,12,51.1899,A,157942,222.14,0.23
3735,20211231,2021,INDL,C,D,STD,DHR,DANAHER CORP,USD,12,58.4573,A,235242,329.01,0.18
3813,20170131,2016,INDL,C,D,STD,TGT,TARGET CORP,USD,1,19.6941,A,35861,64.48,0.31
3813,20180131,2017,INDL,C,D,STD,TGT,TARGET CORP,USD,1,21.616,A,40745,75.22,0.29
3813,20190131,2018,INDL,C,D,STD,TGT,TARGET CORP,USD,1,21.8189,A,37797,73,0.3
3813,20200131,2019,INDL,C,D,STD,TGT,TARGET CORP,USD,1,23.4689,A,55835,110.74,0.21
3813,20210131,2020,INDL,C,D,STD,TGT,TARGET CORP,USD,1,28.8294,A,90744,181.17,0.16
3813,20220131,2021,INDL,C,D,STD,TGT,TARGET CORP,USD,1,27.2177,A,103883,220.43,0.12
3980,20170930,2017,INDL,C,D,STD,DIS,DISNEY (WALT) CO,USD,9,27.2347,A,149531,98.57,0.28
3980,20180930,2018,INDL,C,D,STD,DIS,DISNEY (WALT) CO,USD,9,32.7776,A,174007,116.94,0.28
3980,20190930,2019,INDL,C,D,STD,DIS,DISNEY (WALT) CO,USD,9,49.3213,A,234837,130.32,0.38
3980,20200930,2020,INDL,C,D,STD,DIS,DISNEY (WALT) CO,USD,9,46.1785,A,224585,124.08,0.37
3980,20210930,2021,INDL,C,D,STD,DIS,DISNEY (WALT) CO,USD,9,48.709,A,307551,169.17,0.29
4060,20171231,2017,INDL,C,D,STD,DD,DUPONT DE NEMOURS INC,USD,12,43.1094,A,165753,71.22,0.61
4060,20181231,2018,INDL,C,D,STD,DD,DUPONT DE NEMOURS INC,USD,12,41.68,A,121345,53.48,0.78
4060,20191231,2019,INDL,C,D,STD,DD,DUPONT DE NEMOURS INC,USD,12,55.4955,A,47416,64.2,0.86
4060,20201231,2020,INDL,C,D,STD,DD,DUPONT DE NEMOURS INC,USD,12,52.4432,A,52209,71.11,0.74
4060,20211231,2021,INDL,C,D,STD,DD,DUPONT DE NEMOURS INC,USD,12,51.6478,A,41343,80.78,0.64
4093,20171231,2017,INDL,C,D,STD,DUK,DUKE ENERGY CORP,USD,12,59.6271,A,58877,84.11,0.71
4093,20181231,2018,INDL,C,D,STD,DUK,DUKE ENERGY CORP,USD,12,60.271,A,62740,86.3,0.7
4093,20191231,2019,INDL,C,D,STD,DUK,DUKE ENERGY CORP,USD,12,61.2005,A,66857,91.21,0.67
4093,20201231,2020,INDL,C,D,STD,DUK,DUKE ENERGY CORP,USD,12,59.8205,A,70410,91.56,0.65
4093,20211231,2021,INDL,C,D,STD,DUK,DUKE ENERGY CORP,USD,12,61.5527,A,80668,104.9,0.59
4321,20170930,2017,INDL,C,D,STD,EMR,EMERSON ELECTRIC CO,USD,9,13.586,A,40324,62.84,0.22
4321,20180930,2018,INDL,C,D,STD,EMR,EMERSON ELECTRIC CO,USD,9,14.2196,A,48184,76.58,0.19
4321,20190930,2019,INDL,C,D,STD,EMR,EMERSON ELECTRIC CO,USD,9,13.4746,A,40851,66.86,0.2
4321,20200930,2020,INDL,C,D,STD,EMR,EMERSON ELECTRIC CO,USD,9,14.0552,A,39211,65.57,0.21
4321,20210930,2021,INDL,C,D,STD,EMR,EMERSON ELECTRIC CO,USD,9,16.5878,A,56124,94.2,0.18
4503,20171231,2017,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,12,44.2765,A,354550,83.64,0.53
4503,20181231,2018,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,12,45.2665,A,288921,68.19,0.66
4503,20191231,2019,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,12,45.2645,A,295449,69.78,0.65
4503,20201231,2020,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,12,37.125,A,174484,41.22,0.9
4503,20211231,2021,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,12,39.7681,A,259384,61.19,0.65
4517,20171231,2017,INDL,C,D,STD,NEE,NEXTERA ENERGY INC,USD,12,59.8896,A,73565,156.19,0.38
4517,20181231,2018,INDL,C,D,STD,NEE,NEXTERA ENERGY INC,USD,12,71.431,A,83086,173.82,0.41
4517,20191231,2019,INDL,C,D,STD,NEE,NEXTERA ENERGY INC,USD,12,75.6748,A,118416,242.16,0.31
4517,20201231,2020,INDL,C,D,STD,NEE,NEXTERA ENERGY INC,USD,12,18.6291,A,151214,77.15,0.24
4517,20211231,2021,INDL,C,D,STD,NEE,NEXTERA ENERGY INC,USD,12,18.9516,A,183266,93.36,0.2
4598,20170531,2016,INDL,C,D,STD,FDX,FEDEX CORP,USD,5,60.164,A,51785,193.84,0.31
4598,20180531,2017,INDL,C,D,STD,FDX,FEDEX CORP,USD,5,72.9928,A,66266,249.12,0.29
4598,20190531,2018,INDL,C,D,STD,FDX,FEDEX CORP,USD,5,68.1319,A,40210,154.28,0.44
4598,20200531,2019,INDL,C,D,STD,FDX,FEDEX CORP,USD,5,69.9425,A,34151,130.56,0.54
4598,20210531,2020,INDL,C,D,STD,FDX,FEDEX CORP,USD,5,90.5328,A,84039,314.81,0.29
4598,20220531,2021,INDL,C,D,STD,FDX,FEDEX CORP,USD,5,96.0989,A,58282,224.58,0.43
4723,20171231,2017,INDL,C,D,STD,USB,US BANCORP,USD,12,26.2369,A,88710,53.58,0.49
4723,20181231,2018,INDL,C,D,STD,USB,US BANCORP,USD,12,27.8878,A,73501,45.7,0.61
4723,20191231,2019,INDL,C,D,STD,USB,US BANCORP,USD,12,29.7734,A,90960,59.29,0.5
4723,20201231,2020,INDL,C,D,STD,USB,US BANCORP,USD,12,31.1318,A,70216,46.59,0.67
4723,20211231,2021,INDL,C,D,STD,USB,US BANCORP,USD,12,32.5864,A,83328,56.17,0.58
4839,20171231,2017,INDL,C,D,STD,F,FORD MOTOR CO,USD,12,8.781,A,49627,12.49,0.7
4839,20181231,2018,INDL,C,D,STD,F,FORD MOTOR CO,USD,12,9.0314,A,30436,7.65,1.18
4839,20191231,2019,INDL,C,D,STD,F,FORD MOTOR CO,USD,12,8.3696,A,36874,9.3,0.9
4839,20201231,2020,INDL,C,D,STD,F,FORD MOTOR CO,USD,12,7.7136,A,34973,8.79,0.88
4839,20211231,2021,INDL,C,D,STD,F,FORD MOTOR CO,USD,12,12.1169,A,83168,20.77,0.58
5046,20171231,2017,INDL,C,D,STD,GD,GENERAL DYNAMICS CORP,USD,12,38.5152,A,60403,203.45,0.19
5046,20181231,2018,INDL,C,D,STD,GD,GENERAL DYNAMICS CORP,USD,12,40.6376,A,45386,157.21,0.26
5046,20191231,2019,INDL,C,D,STD,GD,GENERAL DYNAMICS CORP,USD,12,46.8803,A,51073,176.35,0.27
5046,20201231,2020,INDL,C,D,STD,GD,GENERAL DYNAMICS CORP,USD,12,54.6674,A,42634,148.82,0.37
5046,20211231,2021,INDL,C,D,STD,GD,GENERAL DYNAMICS CORP,USD,12,63.5435,A,57876,208.47,0.3
5047,20171231,2017,INDL,C,D,STD,GE,GENERAL ELECTRIC CO,USD,12,7.4024,A,151476,17.45,0.42
5047,20181231,2018,INDL,C,D,STD,GE,GENERAL ELECTRIC CO,USD,12,3.5594,A,65876,7.57,0.47
5047,20191231,2019,INDL,C,D,STD,GE,GENERAL ELECTRIC CO,USD,12,3.2397,A,97521,11.16,0.29
5047,20201231,2020,INDL,C,D,STD,GE,GENERAL ELECTRIC CO,USD,12,4.0552,A,94667,10.8,0.38
5047,20211231,2021,INDL,C,D,STD,GE,GENERAL ELECTRIC CO,USD,12,36.6724,A,103825,94.47,0.39
5073,20171231,2017,INDL,C,D,STD,GM,GENERAL MOTORS CO,USD,12,25.0007,A,57386,40.99,0.61
5073,20181231,2018,INDL,C,D,STD,GM,GENERAL MOTORS CO,USD,12,27.7571,A,46830,33.45,0.83
5073,20191231,2019,INDL,C,D,STD,GM,GENERAL MOTORS CO,USD,12,29.8514,A,51240,36.6,0.82
5073,20201231,2020,INDL,C,D,STD,GM,GENERAL MOTORS CO,USD,12,32.1643,A,58296,41.64,0.77
5073,20211231,2021,INDL,C,D,STD,GM,GENERAL MOTORS CO,USD,12,39.8293,A,87945,58.63,0.68
5568,20171231,2017,INDL,C,D,STD,KHC,KRAFT HEINZ CO,USD,12,54.1706,A,94789,77.76,0.7
5568,20181231,2018,INDL,C,D,STD,KHC,KRAFT HEINZ CO,USD,12,42.3418,A,52509,43.04,0.98
5568,20191231,2019,INDL,C,D,STD,KHC,KRAFT HEINZ CO,USD,12,42.2793,A,39231,32.13,1.32
5568,20201231,2020,INDL,C,D,STD,KHC,KRAFT HEINZ CO,USD,12,40.9673,A,42389,34.66,1.18
5568,20211231,2021,INDL,C,D,STD,KHC,KRAFT HEINZ CO,USD,12,40.2761,A,43942,35.9,1.12
5680,20170131,2016,INDL,C,D,STD,HD,HOME DEPOT INC,USD,1,3.6018,A,165509,137.58,0.03
5680,20180131,2017,INDL,C,D,STD,HD,HOME DEPOT INC,USD,1,1.2556,A,232642,200.9,0.01
